16a Sea Zone  (1330,610)  (1366,604)  | overflowToLeft=false
Irkutsk  (2147,415)  (2187,439)  (2149,369)  (2128,323)  (2238,352)  (2259,312)  (2300,297)  | overflowToLeft=false
East Poland  (1347,365)  (1347,401)  (1318,437)  | overflowToLeft=false
Finland  (1300,127)  (1302,91)  (1305,163)  (1269,163)  (1291,55)  | overflowToLeft=false
Sumatra  (2220,1247)  (2267,1275)  (2226,1299)  (2301,1328)  (2305,1387)  | overflowToLeft=false
23 Sea Zone  (926,1288)  (890,1323)  (890,1287)  (961,1324)  (926,1252)  (962,1252)  (962,1288)  (888,1251)  (925,1359)  (889,1359)  (854,1323)  (854,1287)  (997,1324)  (997,1360)  (961,1360)  (853,1360)  (924,1216)  (960,1216)  (996,1216)  (998,1252)  (998,1288)  (852,1251)  (852,1215)  (888,1215)  (925,1395)  (889,1395)  (818,1324)  (818,1288)  (1033,1324)  (1033,1360)  (1033,1396)  (997,1396)  (961,1396)  (853,1396)  (817,1396)  (817,1360)  (979,1180)  (1034,1284)  (816,1252)  (816,1216)  | overflowToLeft=false
41 Sea Zone  (3035,1733)  (2999,1768)  (2999,1732)  (3070,1769)  (3035,1697)  (3071,1697)  (3071,1733)  (2997,1696)  (2963,1793)  (2963,1757)  (3033,1661)  (3069,1661)  (2927,1793)  (2826,1793)  (2790,1793)  (2790,1757)  | overflowToLeft=false
Western Australia  (2545,1644)  (2559,1694)  (2606,1690)  (2596,1644)  (2648,1662)  (2652,1477)  (2743,1437)  (2719,1562)  | overflowToLeft=false
39b Sea Zone  (2222,1558)  (2186,1593)  (2186,1557)  (2257,1594)  (2222,1522)  (2258,1522)  (2258,1558)  (2184,1521)  (2293,1594)  (2294,1491)  (2294,1527)  (2329,1563)  (2329,1599)  (2330,1491)  (2330,1527)  (2365,1563)  (2365,1599)  (2366,1491)  (2366,1527)  | overflowToLeft=false
4 Sea Zone  (1437,0)  (1522,0)  | overflowToLeft=false
15 Sea Zone  (1291,757)  (1299,803)  (1335,774)  (1371,794)  | overflowToLeft=false
Libya  (1113,855)  (1077,887)  (1077,841)  (1136,891)  | overflowToLeft=false
21 Sea Zone  (103,1300)  (67,1335)  (67,1299)  (138,1336)  (103,1264)  (139,1264)  (139,1300)  (65,1263)  (102,1371)  (66,1371)  (31,1335)  (31,1299)  (174,1336)  (174,1372)  (138,1372)  (30,1372)  (101,1228)  (137,1228)  (173,1228)  (175,1264)  (175,1300)  (29,1263)  (29,1227)  (65,1227)  (209,1208)  (102,1407)  (66,1407)  (210,1336)  (210,1372)  (210,1408)  (174,1408)  (138,1408)  (30,1408)  (101,1192)  (137,1192)  (173,1192)  (211,1244)  (211,1280)  (0,1191)  (36,1191)  (102,1443)  (66,1443)  (246,1316)  (246,1352)  (246,1388)  (246,1424)  (210,1444)  (174,1444)  (138,1444)  (30,1444)  (72,1156)  (108,1156)  (144,1156)  (180,1156)  (247,1237)  (247,1273)  | overflowToLeft=false
35b Sea Zone  (1973,1186)  (2008,1222)  (1972,1222)  (1950,1150)  (1986,1150)  (2009,1186)  (2022,1137)  (2044,1244)  (2008,1258)  (1972,1258)  (1965,1114)  (2001,1101)  (2037,1101)  (2066,1280)  (2080,1244)  (1993,1065)  (2029,1065)  (2102,1280)  (2116,1244)  (1993,1029)  (2029,1029)  (1993,993)  (2029,993)  (1993,957)  (2029,957)  (1993,921)  (2029,921)  (2012,885)  | overflowToLeft=false
Sweden  (1145,215)  (1154,179)  (1142,251)  (1172,143)  (1201,106)  (1222,70)  | overflowToLeft=false
Siberia  (1892,104)  (1856,131)  (1856,95)  (1928,84)  (1928,120)  (1826,59)  (1820,128)  (1964,86)  (1964,122)  (1790,92)  (1784,134)  (2000,84)  (2000,120)  (1754,98)  (1754,62)  (2036,64)  (2036,100)  (2072,47)  (2072,83)  (2072,119)  (2108,61)  (2108,97)  (2144,61)  (2144,97)  (2180,53)  (2180,89)  (2216,53)  | overflowToLeft=false
Poland  (1245,384)  (1209,419)  (1209,383)  (1273,420)  | overflowToLeft=false
Hulunbuir  (2399,446)  | overflowToLeft=false
18 Sea Zone  (532,900)  (496,935)  (496,899)  (567,936)  (532,864)  (568,864)  (568,900)  (494,863)  (531,971)  (460,950)  (584,972)  (530,828)  (480,827)  (548,1007)  (584,1008)  (516,792)  (480,791)  (584,1044)  (664,1128)  (666,1164)  | overflowToLeft=false
Bulgaria  (1259,634)  | overflowToLeft=false
Java  (2452,1419)  (2494,1431)  (2542,1426)  (2394,1385)  | overflowToLeft=false
51 Sea Zone  (2828,1014)  (2828,1050)  (2828,1086)  (2828,1137)  (2864,1014)  (2864,1050)  (2864,1086)  (2864,1134)  (2900,1014)  (2900,1050)  (2900,1086)  (2900,1138)  (2936,1014)  (2936,1050)  (2936,1123)  (2936,1159)  (2972,1014)  (2972,1050)  (2972,1127)  (2972,1163)  (2990,1086)  (3008,1014)  (3008,1050)  (3008,1161)  (3026,1086)  (3031,1122)  (3044,1014)  (3044,1050)  (3062,1086)  (3067,1122)  (3075,1158)  (3080,1014)  (3080,1050)  | overflowToLeft=false
Kyushu  (2559,769)  | overflowToLeft=false
54 Sea Zone  (3523,993)  (3487,1028)  (3487,992)  (3558,1029)  (3523,957)  (3559,957)  (3559,993)  (3485,956)  (3522,1064)  (3486,1064)  (3451,1028)  (3451,992)  (3591,1065)  (3450,1065)  (3521,921)  (3557,921)  (3449,956)  (3449,920)  (3485,920)  (3555,1100)  (3519,1100)  (3591,1101)  (3483,1101)  (3447,1101)  (3521,885)  (3420,884)  (3456,884)  | overflowToLeft=false
63b Sea Zone  (2864,324)  (2828,359)  (2899,360)  (2853,288)  (2889,288)  (2900,324)  (2925,263)  (2935,360)  (2883,252)  (2936,299)  (2961,244)  | overflowToLeft=false
50b Sea Zone  (2688,1014)  (2688,1050)  (2688,1086)  (2724,1058)  (2760,1044)  (2760,1080)  | overflowToLeft=false
Kenya  (1313,1325)  (1335,1359)  (1379,1365)  (1383,1326)  (1398,1281)  | overflowToLeft=false
43 Sea Zone  (3629,1673)  (3593,1708)  (3593,1672)  (3664,1709)  (3629,1637)  (3665,1637)  (3665,1673)  (3591,1636)  (3628,1744)  (3592,1744)  (3557,1708)  (3557,1672)  (3700,1709)  (3700,1745)  (3664,1745)  (3556,1745)  (3627,1601)  (3663,1601)  (3699,1601)  (3701,1637)  (3701,1673)  (3555,1636)  (3555,1600)  (3591,1600)  (3735,1567)  (3628,1780)  (3592,1780)  (3521,1709)  (3521,1673)  (3736,1709)  (3736,1745)  (3736,1781)  (3700,1781)  (3664,1781)  (3556,1781)  (3520,1781)  (3520,1745)  (3627,1565)  (3663,1565)  (3699,1565)  (3519,1637)  (3519,1601)  (3519,1565)  (3555,1564)  (3591,1564)  (3485,1709)  (3485,1673)  (3484,1793)  (3484,1757)  (3483,1637)  (3483,1601)  (3483,1565)  | overflowToLeft=false
Cuba  (253,707)  | overflowToLeft=false
Sicily  (1077,760)  | overflowToLeft=false
Shikoku  (2601,744)  | overflowToLeft=false
26 Sea Zone  (796,1704)  (760,1739)  (760,1703)  (831,1740)  (796,1668)  (832,1668)  (832,1704)  (758,1667)  (795,1775)  (759,1775)  (724,1739)  (724,1703)  (867,1740)  (867,1776)  (831,1776)  (723,1776)  (794,1632)  (830,1632)  (866,1632)  (868,1668)  (868,1704)  (722,1667)  (688,1740)  (688,1704)  (687,1793)  (686,1668)  (686,1632)  (652,1757)  (652,1721)  (651,1793)  (650,1685)  (650,1649)  (616,1757)  (616,1721)  (615,1793)  (614,1685)  (614,1649)  | overflowToLeft=false
7 Sea Zone  (818,352)  (782,387)  (782,351)  (854,341)  (854,377)  (799,423)  (890,341)  (920,294)  (828,459)  (792,459)  (926,330)  (838,495)  (802,495)  | overflowToLeft=false
Western United States  (3581,405)  (3545,440)  (3545,404)  (3616,441)  (3581,369)  (3617,369)  (3617,405)  (3543,368)  (3580,476)  (3544,476)  (3509,440)  (3509,404)  (3652,441)  (3649,477)  (3508,476)  (3579,333)  (3615,333)  (3651,333)  (3507,368)  (3507,332)  (3543,332)  (3613,512)  (3473,407)  (3649,513)  | overflowToLeft=false
Himalaya  (1976,706)  (1940,706)  (2011,742)  (1975,742)  (1939,670)  (2047,724)  (1903,676)  (1867,673)  | overflowToLeft=false
14a Sea Zone  (1036,669)  (1067,705)  | overflowToLeft=false
Gibraltar  (761,710)  | overflowToLeft=false
65a Sea Zone  (3037,173)  (3001,208)  (3029,137)  (3073,143)  (3073,179)  (3109,129)  (3109,165)  (3109,201)  (3140,87)  (3145,123)  (3145,159)  (3145,195)  (3181,157)  (3181,193)  (3217,174)  | overflowToLeft=false
56b Sea Zone  (3360,429)  (3395,465)  (3359,465)  (3326,393)  (3362,393)  (3396,429)  (3398,391)  (3431,465)  (3432,427)  (3434,361)  | overflowToLeft=false
44 Sea Zone  (3707,1233)  (3671,1268)  (3671,1232)  (3736,1269)  (3707,1197)  (3669,1196)  (3700,1304)  (3664,1304)  (3635,1268)  (3635,1232)  (3736,1305)  (3705,1161)  (3633,1196)  (3633,1160)  (3669,1160)  (3628,1311)  (3700,1340)  (3664,1340)  (3599,1275)  (3599,1239)  (3736,1341)  (3597,1203)  (3597,1167)  (3628,1347)  (3592,1347)  (3592,1311)  (3700,1376)  (3664,1376)  (3736,1377)  (3628,1383)  (3592,1383)  (3700,1412)  (3664,1412)  (3736,1413)  (3628,1419)  (3592,1419)  (3700,1448)  (3664,1448)  (3736,1449)  (3628,1455)  (3592,1455)  (3700,1484)  (3664,1484)  (3736,1485)  (3628,1491)  (3592,1491)  | overflowToLeft=false
53 Sea Zone  (3133,860)  (3133,896)  (3133,932)  (3133,968)  (3133,1004)  (3133,1040)  (3133,1076)  (3133,1112)  (3169,860)  (3169,896)  (3169,932)  (3169,1013)  (3169,1049)  (3169,1085)  (3199,968)  (3205,860)  (3205,896)  (3205,932)  (3205,1004)  (3205,1040)  (3205,1076)  (3205,1112)  (3241,860)  (3241,896)  (3241,932)  (3241,1054)  (3241,1090)  (3254,968)  (3277,860)  (3277,896)  (3277,932)  (3290,968)  (3307,1106)  (3313,860)  (3313,896)  (3313,932)  (3328,997)  (3343,1106)  (3349,860)  (3349,896)  (3349,932)  (3349,1033)  (3364,968)  (3366,1069)  (3379,1105)  | overflowToLeft=false
Iceland  (709,15)  | overflowToLeft=false
Armenia  (1557,582)  (1594,564)  (1622,604)  | overflowToLeft=false
Yakut S.S.R.  (2317,170)  (2281,205)  (2281,169)  (2352,206)  (2317,134)  (2353,134)  (2353,170)  (2279,133)  (2245,223)  (2245,187)  (2388,206)  (2388,242)  (2352,242)  (2315,98)  (2351,98)  (2387,98)  (2389,134)  (2389,170)  (2243,151)  (2243,115)  (2279,97)  (2423,64)  (2209,223)  (2209,187)  (2424,206)  (2424,242)  (2315,62)  (2351,62)  (2387,62)  (2425,100)  (2425,136)  (2207,151)  (2257,61)  (2459,37)  (2460,175)  (2460,211)  (2461,73)  (2461,109)  (2496,187)  (2496,223)  (2497,52)  (2497,88)  | overflowToLeft=false
Belgian Congo  (1231,1210)  (1195,1245)  (1195,1209)  (1266,1246)  (1231,1174)  (1267,1174)  (1267,1210)  (1193,1173)  (1230,1281)  (1194,1281)  (1158,1282)  (1261,1317)  (1225,1317)  | overflowToLeft=false
49b Sea Zone  (2477,1311)  (2526,1216)  (2562,1201)  (2620,1201)  (2645,1237)  | overflowToLeft=false
Brazil  (507,1128)  (471,1163)  (471,1127)  (542,1164)  (507,1092)  (543,1092)  (543,1128)  (469,1091)  (506,1199)  (470,1199)  (435,1163)  (435,1127)  (578,1164)  (578,1200)  (542,1200)  (434,1200)  (579,1096)  (433,1091)  (433,1055)  (506,1235)  (470,1235)  (399,1144)  (614,1132)  (574,1236)  (434,1236)  (397,1108)  (397,1072)  (397,1036)  (433,1019)  (469,1019)  (538,1271)  (502,1271)  (466,1272)  (361,1125)  (361,1089)  (361,1053)  (500,1308)  (325,1097)  (325,1061)  (486,1344)  (289,1109)  | overflowToLeft=false
Turkestan  (1722,636)  (1713,594)  (1856,529)  (1828,565)  (1818,608)  | overflowToLeft=false
Iwo Jima  (2768,911)  | overflowToLeft=false
Aleutians  (3203,112)  | overflowToLeft=false
34a Sea Zone  (1506,1226)  (1470,1250)  (1528,1190)  | overflowToLeft=false
Algeria  (866,795)  (884,852)  (923,871)  (962,888)  (1006,886)  (980,841)  (995,786)  | overflowToLeft=false
Midway  (3030,547)  | overflowToLeft=false
Manchuria  (2426,508)  (2390,543)  (2438,544)  (2462,477)  (2419,580)  (2334,558)  | overflowToLeft=false
13a Sea Zone  (879,724)  (843,744)  (915,699)  (807,744)  (951,699)  | overflowToLeft=false
58a Sea Zone  (3002,362)  (3002,398)  (3002,434)  (3002,470)  (3002,506)  (3002,542)  (3002,578)  (3038,362)  (3038,398)  (3038,434)  (3038,470)  (3038,506)  (3038,573)  (3074,362)  (3074,398)  (3074,434)  (3074,470)  (3074,506)  (3074,573)  | overflowToLeft=false
Eastern United States  (254,389)  (218,424)  (290,364)  (241,460)  (205,460)  (182,424)  (177,388)  (169,473)  (216,496)  (146,437)  (180,509)  (144,509)  (133,473)  (110,437)  (108,534)  (102,401)  (102,346)  (187,545)  (97,498)  (74,462)  (72,552)  (66,426)  (66,390)  (66,354)  (61,516)  (59,318)  (38,480)  (36,553)  (30,444)  (30,408)  (30,372)  (25,517)  (23,336)  (2,481)  (0,570)  | overflowToLeft=false
Soviet Far East  (2654,214)  (2718,212)  (2783,321)  (2550,165)  (2589,120)  (2903,185)  | overflowToLeft=false
New Guinea  (2853,1257)  (2854,1319)  (3012,1264)  (2989,1307)  (2909,1329)  (2963,1353)  | overflowToLeft=false
Okinawa  (2596,908)  | overflowToLeft=false
Italy  (1041,573)  (1005,556)  | overflowToLeft=false
64b Sea Zone  (3287,251)  (3322,287)  (3286,287)  (3265,215)  (3301,215)  (3323,251)  (3337,201)  (3351,323)  (3315,323)  (3279,323)  (3265,179)  (3301,179)  (3337,165)  | overflowToLeft=false
Suiyuan  (2254,604)  (2218,639)  (2218,603)  | overflowToLeft=false
Haiti  (344,748)  | overflowToLeft=false
Afghanistan  (1780,681)  (1755,717)  | overflowToLeft=false
Western Canada  (3617,147)  (3581,182)  (3581,146)  (3652,183)  (3617,111)  (3653,111)  (3653,147)  (3579,110)  (3616,218)  (3580,218)  (3545,182)  (3545,146)  (3688,183)  (3688,219)  (3652,219)  (3544,219)  (3615,75)  (3651,75)  (3687,75)  (3689,111)  (3689,147)  (3543,110)  (3543,74)  (3579,74)  (3723,43)  (3616,254)  (3580,254)  (3509,183)  (3509,147)  (3724,183)  (3724,219)  (3724,255)  (3688,255)  (3652,255)  (3544,255)  (3508,234)  (3615,39)  (3651,39)  (3725,79)  (3725,115)  (3507,111)  (3507,75)  (3507,39)  (3543,38)  (3471,107)  | overflowToLeft=false
12 Sea Zone  (662,595)  (626,630)  (626,594)  (680,631)  (662,559)  (698,559)  (624,558)  (644,666)  (608,666)  (590,630)  (590,594)  (660,523)  (696,523)  (588,558)  (588,522)  (624,522)  (732,511)  (681,701)  (645,702)  (609,702)  (717,711)  (681,737)  (645,738)  (609,738)  (744,747)  (708,773)  (672,774)  (636,774)  | overflowToLeft=false
French Madagascar  (1520,1575)  (1519,1611)  (1548,1539)  (1483,1617)  (1498,1653)  | overflowToLeft=false
1 Sea Zone  (532,218)  (496,253)  (496,217)  (567,254)  (568,185)  (531,289)  (495,289)  (460,194)  (590,290)  (459,290)  (423,287)  (410,171)  (348,109)  (318,14)  (208,39)  (202,172)  (188,136)  (186,100)  (152,163)  (150,127)  (150,91)  (114,144)  (114,108)  | overflowToLeft=false
Russia  (1619,257)  (1583,292)  (1583,256)  (1654,293)  (1619,221)  (1655,221)  (1655,257)  (1581,220)  (1618,328)  (1582,328)  (1547,292)  (1547,256)  (1546,329)  (1617,185)  (1653,185)  (1691,214)  (1691,250)  (1618,149)  | overflowToLeft=false
Chinghai  (2112,648)  (2076,644)  (2148,642)  | overflowToLeft=false
Kiangsu  (2362,637)  (2362,601)  (2374,673)  | overflowToLeft=false
Alaska  (3360,42)  (3324,77)  (3324,41)  (3393,78)  (3396,19)  (3288,87)  (3432,19)  | overflowToLeft=false
65b Sea Zone  (3118,28)  (3082,15)  (3154,0)  (3154,36)  (3190,0)  (3190,36)  (3226,0)  (3262,0)  | overflowToLeft=false
Eastern Ukraine  (1474,407)  (1438,429)  (1507,443)  (1510,396)  | overflowToLeft=false
Korea  (2460,614)  | overflowToLeft=false
56c Sea Zone  (3388,156)  (3388,192)  (3388,228)  (3388,264)  (3388,300)  (3424,247)  (3424,283)  (3424,319)  (3460,263)  (3460,299)  | overflowToLeft=false
Sakhalin  (2661,389)  | overflowToLeft=false
57b Sea Zone  (3186,493)  (3150,528)  (3150,492)  (3221,529)  (3186,457)  (3222,457)  (3222,493)  (3148,456)  (3185,564)  (3149,564)  (3257,529)  (3257,565)  (3221,565)  (3184,421)  (3220,421)  (3256,421)  (3258,457)  (3258,493)  (3132,420)  (3168,385)  (3204,385)  (3240,385)  (3276,385)  (3132,384)  | overflowToLeft=false
Romania  (1259,541)  (1223,571)  (1287,577)  (1295,506)  | overflowToLeft=false
Hunan  (2245,778)  | overflowToLeft=false
Buryatia S.S.R.  (2520,519)  (2548,473)  (2486,407)  (2452,361)  (2491,308)  (2538,275)  (2581,230)  (2570,370)  | overflowToLeft=false
Bengal  (1956,843)  (2026,833)  (1961,791)  (1994,882)  | overflowToLeft=false
48c Sea Zone  (2728,1166)  (2692,1201)  (2692,1165)  (2728,1130)  (2764,1130)  (2764,1166)  (2690,1129)  (2774,1202)  (2810,1200)  | overflowToLeft=false
Persia  (1574,729)  (1682,738)  (1587,784)  (1628,793)  (1667,801)  (1708,819)  (1575,650)  (1691,673)  (1628,751)  | overflowToLeft=false
31 Sea Zone  (1985,1468)  (1949,1503)  (1949,1467)  (2020,1504)  (1985,1432)  (2021,1432)  (2021,1468)  (1947,1431)  (1984,1539)  (1948,1539)  (1913,1503)  (1913,1467)  (2056,1504)  (2056,1540)  (2020,1540)  (1912,1540)  (1983,1396)  (2019,1396)  (2055,1396)  (2057,1432)  (2057,1468)  (1911,1431)  (1911,1395)  (1947,1395)  (2091,1362)  (1984,1575)  (1948,1575)  (1877,1504)  (1877,1468)  (2092,1504)  (2092,1540)  (2092,1576)  (2056,1576)  (2020,1576)  (1912,1576)  (1876,1576)  (1876,1540)  (1983,1360)  (2019,1360)  (2055,1360)  (2093,1398)  (2093,1434)  (1875,1432)  (1875,1396)  (1875,1360)  (1911,1359)  (1947,1359)  (1984,1611)  (1948,1611)  (2117,1612)  (2081,1612)  (2045,1612)  (1912,1612)  (1876,1612)  | overflowToLeft=false
8 Sea Zone  (684,300)  (648,335)  (648,299)  (719,336)  (684,264)  (720,264)  (646,263)  (683,371)  (647,371)  (737,372)  (626,227)  (662,196)  (701,407)  (665,407)  (629,407)  (737,408)  (626,191)  (794,210)  (701,443)  (665,443)  (629,443)  (737,444)  | overflowToLeft=false
19 Sea Zone  (140,778)  (148,742)  (176,778)  (192,892)  (200,854)  (203,814)  (212,749)  (228,890)  (236,850)  (239,785)  (272,821)  (272,857)  (275,770)  (288,690)  (308,806)  (308,842)  (324,690)  (329,878)  (344,786)  (344,822)  (365,858)  (374,894)  (376,719)  (380,805)  (401,850)  (410,886)  (412,750)  (437,847)  | overflowToLeft=false
25 Sea Zone  (441,1673)  (405,1708)  (405,1672)  (476,1709)  (441,1637)  (477,1637)  (477,1673)  (403,1636)  (440,1744)  (404,1744)  (369,1708)  (369,1672)  (512,1709)  (512,1745)  (476,1745)  (368,1745)  (439,1601)  (475,1601)  (511,1601)  (513,1637)  (513,1673)  (393,1600)  (547,1567)  (440,1780)  (404,1780)  (333,1709)  (333,1673)  (548,1709)  (548,1745)  (548,1781)  (512,1781)  (476,1781)  (368,1781)  (332,1781)  (332,1745)  (429,1565)  (465,1565)  (501,1565)  (549,1603)  (549,1639)  (321,1637)  (393,1550)  (537,1531)  (297,1709)  (297,1673)  (296,1793)  (296,1757)  (429,1529)  (465,1529)  (501,1529)  (288,1601)  | overflowToLeft=false
Henan  (2306,717)  (2303,681)  (2342,721)  | overflowToLeft=false
2a Sea Zone  (491,148)  (455,144)  (527,142)  (540,98)  (423,108)  (563,134)  (552,62)  (361,50)  | overflowToLeft=false
Archangel  (1559,54)  (1523,74)  (1575,18)  (1595,54)  (1611,16)  (1487,78)  (1631,52)  (1647,16)  (1667,52)  | overflowToLeft=false
59a Sea Zone  (2934,632)  (2934,668)  (2934,704)  (2934,740)  (2934,776)  (2934,812)  (2970,632)  (2970,668)  (2970,704)  (2970,759)  (2970,795)  (3006,632)  (3006,668)  (3006,704)  (3006,760)  (3006,796)  (3042,632)  (3042,668)  (3042,704)  (3042,740)  (3042,776)  (3042,812)  | overflowToLeft=false
Angola  (1141,1371)  (1105,1341)  (1164,1407)  (1128,1407)  (1159,1335)  (1092,1425)  | overflowToLeft=false
29 Sea Zone  (1651,1725)  (1615,1760)  (1615,1724)  (1686,1761)  (1651,1689)  (1687,1689)  (1687,1725)  (1613,1688)  (1579,1793)  (1579,1757)  (1722,1761)  (1723,1661)  (1723,1697)  (1577,1721)  (1577,1685)  (1543,1793)  (1543,1757)  (1541,1721)  (1541,1685)  (1507,1793)  (1507,1757)  (1505,1721)  | overflowToLeft=false
Tibet  (1932,613)  (1896,622)  (1895,586)  (1968,617)  (2004,630)  (2018,666)  | overflowToLeft=false
47 Sea Zone  (3029,1487)  (2993,1522)  (2993,1486)  (3064,1523)  (3029,1451)  (3065,1451)  (3065,1487)  (2991,1450)  (3028,1558)  (2992,1558)  (2957,1522)  (2957,1486)  (3096,1559)  (3027,1415)  (3063,1415)  (2955,1450)  (2955,1414)  (2991,1414)  (3060,1594)  (3024,1594)  (3096,1595)  (3027,1379)  (3063,1379)  (2919,1465)  (2919,1429)  (2919,1393)  (2955,1378)  (2907,1357)  (2871,1377)  | overflowToLeft=false
Greece  (1212,722)  | overflowToLeft=false
Belorussia  (1466,315)  (1430,350)  (1430,314)  (1485,351)  (1474,279)  | overflowToLeft=false
Mongolia  (2192,515)  (2156,536)  (2156,500)  (2227,551)  (2228,512)  (2120,527)  (2120,491)  (2264,510)  (2104,455)  (2084,520)  (2300,506)  (2068,484)  (2032,488)  | overflowToLeft=false
Czechoslovakia Hungary  (1215,484)  (1179,519)  | overflowToLeft=false
3 Sea Zone  (1036,37)  (1000,72)  (1000,36)  (1071,73)  (1036,1)  (1072,1)  (1072,37)  (998,0)  (1035,108)  (999,108)  (964,72)  (964,36)  (1107,73)  (963,109)  (1108,0)  (1108,36)  (962,0)  (928,73)  (928,37)  (927,111)  (1144,0)  (1144,36)  (926,1)  (892,48)  (1180,0)  (890,12)  | overflowToLeft=false
Morocco  (777,774)  (817,793)  (844,842)  | overflowToLeft=false
14b Sea Zone  (1050,782)  (1104,800)  (1140,758)  (1140,801)  (1176,737)  (1176,773)  | overflowToLeft=false
59b Sea Zone  (2841,684)  (2876,720)  (2840,720)  (2810,648)  (2846,648)  (2877,684)  (2882,643)  (2897,756)  (2861,756)  (2825,756)  (2897,792)  (2861,792)  (2825,792)  | overflowToLeft=false
Evenki National Okrug  (2038,270)  (2002,278)  (2002,242)  (2073,306)  (2038,234)  (2074,234)  (2074,270)  (2037,314)  (1973,206)  (2075,342)  (2009,198)  (2045,198)  (2081,198)  (2110,234)  (2117,191)  (2039,350)  (1968,170)  (2099,378)  (2072,162)  | overflowToLeft=false
60 Sea Zone  (2728,860)  (2728,896)  (2728,932)  (2728,968)  (2764,860)  (2764,938)  (2764,974)  (2794,896)  (2800,860)  (2800,932)  (2800,968)  | overflowToLeft=false
Iraq  (1518,798)  | overflowToLeft=false
61a Sea Zone  (2334,932)  (2334,968)  (2370,912)  (2370,948)  (2406,967)  (2435,858)  (2437,928)  (2442,964)  (2455,822)  (2471,858)  (2473,894)  (2478,930)  (2478,966)  (2491,808)  (2507,844)  (2509,880)  (2514,916)  (2514,952)  | overflowToLeft=false
Eastern Australia  (2706,1667)  (2829,1681)  (2874,1665)  (2935,1663)  (2847,1739)  (2880,1708)  (2905,1747)  (2932,1706)  | overflowToLeft=false
39a Sea Zone  (2464,1527)  (2428,1562)  (2428,1526)  (2473,1563)  (2464,1491)  (2500,1491)  (2500,1527)  (2437,1598)  (2473,1599)  (2536,1491)  (2590,1460)  (2626,1424)  (2662,1394)  (2698,1394)  (2768,1394)  (2802,1438)  (2804,1394)  | overflowToLeft=false
Borneo  (2355,1186)  (2397,1165)  (2386,1208)  (2347,1233)  (2390,1249)  | overflowToLeft=false
22 Sea Zone  (679,1287)  (643,1322)  (643,1286)  (714,1323)  (679,1251)  (715,1251)  (715,1287)  (641,1250)  (678,1358)  (642,1358)  (607,1322)  (750,1323)  (750,1359)  (714,1359)  (606,1359)  (677,1215)  (713,1215)  (749,1215)  (751,1251)  (751,1287)  (620,1214)  (678,1394)  (642,1394)  (571,1323)  (759,1395)  (723,1395)  (606,1395)  (570,1395)  (570,1359)  (534,1397)  (534,1361)  | overflowToLeft=false
